city,latitude,longitude
熊本市,32.8031, 130.707891
熊本市中央区,32.803225, 130.708191
熊本市東区,32.780522, 130.768069
熊本市西区,32.776358, 130.647542
熊本市南区,32.715333, 130.678877
熊本市北区,32.903544, 130.694411
八代市,32.508387, 130.602096
人吉市,32.210041, 130.762554
荒尾市,32.986836, 130.432959
水俣市,32.214516, 130.40737
玉名市,32.93522, 130.56284
山鹿市,33.017578, 130.691365
菊池市,32.979483, 130.813333
宇土市,32.687999, 130.659721
上天草市,32.587419, 130.430527
宇城市,32.647847, 130.684365
阿蘇市,32.951954, 131.120955
天草市,32.458504, 130.193391
合志市,32.885988, 130.789707
下益城郡美里町,32.639589, 130.789026
玉名郡玉東町,32.9189, 130.628543
玉名郡南関町,33.06161, 130.541162
玉名郡長洲町,32.929678, 130.452808
玉名郡和水町,32.978106, 130.605835
菊池郡大津町,32.878504, 130.868312
菊池郡菊陽町,32.862515, 130.828623
阿蘇郡小国町,33.121568, 131.068144
阿蘇郡南小国町,33.09866, 131.07037
阿蘇郡産山村,32.99576, 131.216781
阿蘇郡高森町,32.827279, 131.122011
阿蘇郡西原村,32.834825, 130.90301
阿蘇郡南阿蘇村,32.845004, 131.017627
上益城郡御船町,32.714616, 130.801894
上益城郡嘉島町,32.740076, 130.757259
上益城郡益城町,32.791922, 130.816546
上益城郡甲佐町,32.651599, 130.811466
上益城郡山都町,32.685453, 130.990455
八代郡氷川町,32.5825, 130.673786
葦北郡芦北町,32.298941, 130.492978
葦北郡津奈木町,32.233842, 130.439583
球磨郡錦町,32.201197, 130.841115
球磨郡多良木町,32.263997, 130.935784
球磨郡湯前町,32.276284, 130.980902
球磨郡水上村,32.314342, 131.009546
球磨郡相良村,32.235269, 130.798095
球磨郡五木村,32.397277, 130.827816
球磨郡山江村,32.246806, 130.766675
球磨郡球磨村,32.252431, 130.651163
球磨郡あさぎり町,32.240316, 130.897793
天草郡苓北町,32.487773, 130.073562
